name,meaning
おはおう,Good morning
おはようございます,Good morning (polite)
こんいちは,Good afternoon
こんばんは,Good evening
さようなら,Good-bye
おやすみ,Good night
おやすみなさい,Good night (soft authoritative)
ありがとう,Thank you
ありがとうございます,Thank you very much
すみません,Excuse me; I'm sorry
いいえ,No
いってきます,I'll go and come back
いってらっしゃい,Please go and come back
ただいま,I'm home
おかえり,Welcome home
おかえりなさい,Welcome home (soft authoritative)
いただきます,Thank you for the meal (before eating)
ごちそうさま,Thank you for the meal (after eating)
ごちそうさまでした,Thank you for the meal (after eating) (polite)
はじめまして,How do you do?
よろしくおねいがいします,Nice to meet you